variant,binary,version,dataset,target_length,run_index,seed,islands,generations_arg,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,status,notes
cuda_ga_gpu_pop_bitset,./build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,9400,7,48,128,1000,0.05,2,9118,123816,1834563,yes,ok,
cuda_ga_gpu_pop_global_dist,./build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,9400,7,48,128,1000,0.05,2,9317,144.136,1391,yes,ok,
cuda_ga_gpu_pop,./build/CUDA-GA-GPU-Pop,GA-GPU-POP-VerboseComments,data/berlin52.tsp,9400,8,49,128,1000,0.05,2,9526,166.447,NA,NA,ok,
cuda_ga_gpu_pop_bankconflict,./build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,9400,8,49,128,1000,0.05,2,9200,89.1036,1140,yes,ok,
cuda_ga_gpu_pop_bitset,./build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,9400,8,49,128,1000,0.05,2,9193,103651,1551961,yes,ok,
cuda_ga_gpu_pop_global_dist,./build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,9400,8,49,128,1000,0.05,2,9200,121.57,1175,yes,ok,
cuda_ga_gpu_pop,./build/CUDA-GA-GPU-Pop,GA-GPU-POP-VerboseComments,data/berlin52.tsp,9400,9,50,128,1000,0.05,2,9467,165.752,NA,NA,ok,
cuda_ga_gpu_pop_bankconflict,./build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,9400,9,50,128,1000,0.05,2,9389,88.0988,1130,yes,ok,
cuda_ga_gpu_pop_bitset,./build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,9400,9,50,128,1000,0.05,2,9256,31254.9,467999,yes,ok,
cuda_ga_gpu_pop_global_dist,./build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,9400,9,50,128,1000,0.05,2,9355,119.655,1158,yes,ok,
cuda_ga_gpu_pop,./build/CUDA-GA-GPU-Pop,GA-GPU-POP-VerboseComments,data/berlin52.tsp,9400,10,51,128,1000,0.05,2,9347,165.925,NA,NA,ok,
cuda_ga_gpu_pop_bankconflict,./build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,9400,10,51,128,1000,0.05,2,9347,77.9017,998,yes,ok,
cuda_ga_gpu_pop_bitset,./build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,9400,10,51,128,1000,0.05,2,9241,62090,931775,yes,ok,
cuda_ga_gpu_pop_global_dist,./build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,9400,10,51,128,1000,0.05,2,9347,109.083,1051,yes,ok,
