variant,version,dataset,runs,ok_runs,target_hits,best_reported_length,best_cuda_elapsed_ms,best_tour_path,mean_reported_length,stddev_reported_length,mean_cuda_elapsed_ms,stddev_cuda_elapsed_ms,mean_generations_completed
cuda_ga_gpu_pop_bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,20,20,0,8929,284.061,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,284.033,0.172031,2000
cuda_ga_b3_reduce,cuda_ga_b3_reduce,data/berlin52.tsp,20,20,0,8777,246.249,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,246.645,1.18103,2000
cuda_ga_gpu_pop,GPU-Pop Control,data/berlin52.tsp,20,20,0,8929,335.155,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,334.457,2.83914,2000
gpu_naive,gpu_naive,data/berlin52.tsp,20,20,0,8181,0.132225,39 37 36 38 35 34 33 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 22 19 49 15 28 29 41 6 1 39,8181,0,0.129932,0.00564933,NA
cuda_ga_gpu_pop_global_dist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,20,20,0,8929,280.235,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,279.649,0.308056,2000
cuda_ga_gpu_pop_bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,20,20,0,8929,328.585,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,330.411,1.24977,2000
cuda_ga_c5_bigpop,cuda_ga_c5_bigpop,data/berlin52.tsp,20,20,0,7542,7579.65,37 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 22 19 49 28 15 45 43 33 34 35 38 39 36 37,7542,0,7526.16,20.2817,2000
cuda_ga_c4_global,cuda_ga_c4_global,data/berlin52.tsp,20,20,0,7909,247.596,35 34 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 22 19 49 15 28 29 1 6 41 20 16 2 17 33 36 37 39 38 35,8079.4,112.122,247.758,0.776551,2000
cuda_ga_b5_bigpop,cuda_ga_b5_bigpop,data/berlin52.tsp,20,20,0,7542,7535.46,4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 22 19 49 28 15 45 43 33 34 35 38 39 36 37 47 23 4,7590.1,66.7288,7511.52,22.1918,2000
cuda_ga_b4_global,cuda_ga_b4_global,data/berlin52.tsp,20,20,0,8777,245.893,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,246.652,0.735741,2000
