variant,version,dataset,runs,ok_runs,target_hits,best_reported_length,best_cuda_elapsed_ms,best_tour_path,mean_reported_length,stddev_reported_length,mean_cuda_elapsed_ms,stddev_cuda_elapsed_ms,mean_generations_completed
cuda_ga_b3_shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,20,20,0,8777,245.722,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,246.905,1.30404,2000
cuda_ga_gpu_pop_parallel_sort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,20,20,0,8836,264.654,32 42 31 48 35 38 39 37 47 36 15 28 49 19 29 22 0 34 33 43 45 27 26 25 46 12 13 51 10 50 11 24 3 5 14 4 23 21 17 30 20 41 1 6 16 2 18 44 40 7 8 9 32,9089.1,126.029,263.246,0.893712,2000
cuda_ga_b4_smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,20,20,0,8777,317.755,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,318.025,1.37832,2000
cuda_ga_c2_bitmask,cuda_ga_c2_bitmask,data/berlin52.tsp,20,20,0,7909,245.612,35 34 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 22 19 49 15 28 29 1 6 41 20 16 2 17 33 36 37 39 38 35,8079.4,112.122,246.166,0.816705,2000
cuda_ga_c1_stride,cuda_ga_c1_stride,data/berlin52.tsp,20,20,0,7909,264.171,35 34 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 22 19 49 15 28 29 1 6 41 20 16 2 17 33 36 37 39 38 35,8079.4,112.122,263.012,1.17609,2000
cuda_ga_gpu_pop_aos,GA-GPU-POP-AoS,data/berlin52.tsp,20,20,0,8929,823.664,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,824.259,0.998296,2000
cuda_ga_b2_bitmask,cuda_ga_b2_bitmask,data/berlin52.tsp,20,20,0,8777,245.766,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,246.376,0.968902,2000
cuda_ga_b1_stride,cuda_ga_b1_stride,data/berlin52.tsp,20,20,0,8777,261.561,25 46 12 13 51 10 50 3 36 43 34 35 48 31 0 21 17 20 41 1 6 16 2 30 22 29 19 49 28 15 45 42 32 9 8 7 40 18 44 33 38 39 47 23 37 4 14 5 24 11 27 26 25,9234.55,195.84,262.003,0.823895,2000
cuda_ga_gpu_pop_verbose_comments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,20,20,0,8929,416.144,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,9125.4,120.514,417.868,1.40723,2000
cuda_ga_c3_reduce,cuda_ga_c3_reduce,data/berlin52.tsp,20,20,0,7909,246.438,35 34 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 22 19 49 15 28 29 1 6 41 20 16 2 17 33 36 37 39 38 35,8079.4,112.122,246.232,0.774271,2000
cuda_ga_no_greedy,cuda_ga_no_greedy,data/berlin52.tsp,20,20,0,7718,896.312,26 27 11 24 3 5 14 4 23 47 45 15 28 49 19 22 29 1 6 41 20 16 2 17 30 21 0 43 36 37 39 38 33 34 35 48 31 44 18 40 7 8 9 42 32 50 10 51 13 12 46 25 26,8275.75,226.052,893.376,4.07792,2000
cuda_ga,cuda_ga,data/berlin52.tsp,20,20,0,7604,878.095,41 6 1 29 22 19 49 28 15 43 45 36 33 34 35 38 39 37 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41,7795.45,208.35,878.16,3.21687,2000
