variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,best_tour_path,status,notes
gpu_naive,build/GPU-Naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,NA,NA,NA,NA,80,0.131357,NA,NA,8 9 18 6 5 19 4 14 13 11 12 15 0 7 3 17 16 1 2 10 8,ok,
cuda_ga,build/CUDA-GA,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,1,42,512,NA,500,0.05,4,75,211.354,NA,NA,14 13 5 19 4 10 8 9 18 6 11 12 15 0 3 17 16 1 2 7 14,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,500,0.05,2,73,32.4455,500,no,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15 0,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,500,0.05,2,73,32.2932,500,no,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15 0,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,500,0.05,2,73,30.3796,500,no,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15 0,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,500,0.05,2,73,96.165,NA,NA,0 15 18 9 8 10 4 19 5 6 14 13 12 11 7 17 3 16 1 2 0,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,500,0.05,2,73,174.684,NA,NA,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15 0,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,500,0.05,2,73,34.6412,500,no,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15 0,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,500,0.05,2,73,114.175,NA,NA,0 2 1 16 17 3 7 12 11 13 14 6 5 19 4 10 8 9 18 15 0,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,500,0.05,2,73,96.0366,NA,NA,9 18 13 11 12 15 0 2 1 16 17 3 7 14 6 5 19 4 10 8 9,ok,
