variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,best_tour_path,status,notes
gpu_naive,build/GPU-Naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,NA,NA,NA,NA,80,0.126005,NA,NA,8 9 18 6 5 19 4 14 13 11 12 15 0 7 3 17 16 1 2 10 8,ok,
cuda_ga,build/CUDA-GA,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,1,100,512,NA,2000,0.03,4,75,564.275,NA,NA,13 11 12 15 0 7 3 17 16 1 2 9 18 6 5 19 8 10 4 14 13,ok,
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,sequential/tests/fixtures/smoke_20.tsp,1,100,512,NA,2000,0.03,4,78,563.532,NA,NA,9 18 13 14 4 10 8 19 5 6 11 12 7 2 1 16 17 3 0 15 9,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,134.231,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,121.739,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,115.2,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,124.759,NA,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,626.004,NA,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,149.144,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,203.775,NA,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,cuda_ga_b1_stride,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,125.035,NA,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,cuda_ga_b2_bitmask,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,117.454,NA,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,cuda_ga_b3_reduce,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,115.818,NA,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,116.617,NA,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,cuda_ga_b4_global,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,117.568,NA,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,cuda_ga_b5_bigpop,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,1682.8,NA,NA,15 12 11 13 18 9 8 10 4 19 5 6 14 7 3 17 16 1 2 0 15,ok,
cuda_ga_c1_stride,build/CUDA-GA-C1-stride,cuda_ga_c1_stride,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,126.565,NA,NA,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,ok,
cuda_ga_c2_bitmask,build/CUDA-GA-C2-bitmask,cuda_ga_c2_bitmask,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,117.057,NA,NA,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,ok,
cuda_ga_c3_reduce,build/CUDA-GA-C3-reduce,cuda_ga_c3_reduce,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,117.264,NA,NA,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,ok,
cuda_ga_c4_global,build/CUDA-GA-C4-global,cuda_ga_c4_global,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,118.22,NA,NA,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,ok,
cuda_ga_c5_bigpop,build/CUDA-GA-C5-bigpop,cuda_ga_c5_bigpop,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,1686.01,NA,NA,16 17 3 7 14 13 11 12 6 5 19 4 10 8 9 18 15 0 2 1 16,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,115.99,NA,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
gpu_naive,build/GPU-Naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,NA,NA,NA,NA,80,0.142676,NA,NA,8 9 18 6 5 19 4 14 13 11 12 15 0 7 3 17 16 1 2 10 8,ok,
cuda_ga,build/CUDA-GA,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,2,101,512,NA,2000,0.03,4,75,560.537,NA,NA,11 12 15 0 7 3 17 16 1 2 9 18 6 5 19 8 10 4 14 13 11,ok,
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,sequential/tests/fixtures/smoke_20.tsp,2,101,512,NA,2000,0.03,4,73,561.047,NA,NA,18 13 14 7 17 3 16 1 2 0 15 12 11 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,121.309,2000,no,15 0 2 1 16 3 17 7 13 14 6 5 19 4 10 8 9 18 11 12 15,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,120.295,2000,no,15 0 2 1 16 3 17 7 13 14 6 5 19 4 10 8 9 18 11 12 15,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,115.182,2000,no,15 0 2 1 16 3 17 7 13 14 6 5 19 4 10 8 9 18 11 12 15,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,124.882,NA,NA,17 3 16 1 2 0 15 18 9 8 10 4 19 5 6 14 13 11 12 7 17,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,626.215,NA,NA,15 0 2 1 16 3 17 7 13 14 6 5 19 4 10 8 9 18 11 12 15,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,149.406,2000,no,15 0 2 1 16 3 17 7 13 14 6 5 19 4 10 8 9 18 11 12 15,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,204.733,NA,NA,15 0 2 1 16 3 17 7 13 14 6 5 19 4 10 8 9 18 11 12 15,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,cuda_ga_b1_stride,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,124.328,NA,NA,16 17 3 7 14 6 5 19 4 10 8 9 18 13 11 12 15 0 2 1 16,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,cuda_ga_b2_bitmask,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,117.126,NA,NA,16 17 3 7 14 6 5 19 4 10 8 9 18 13 11 12 15 0 2 1 16,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,cuda_ga_b3_reduce,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,117.016,NA,NA,16 17 3 7 14 6 5 19 4 10 8 9 18 13 11 12 15 0 2 1 16,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,117.902,NA,NA,16 17 3 7 14 6 5 19 4 10 8 9 18 13 11 12 15 0 2 1 16,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,cuda_ga_b4_global,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,116.593,NA,NA,16 17 3 7 14 6 5 19 4 10 8 9 18 13 11 12 15 0 2 1 16,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,cuda_ga_b5_bigpop,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,1683.38,NA,NA,10 4 19 5 6 14 7 17 3 16 1 2 0 15 12 11 13 18 9 8 10,ok,
cuda_ga_c1_stride,build/CUDA-GA-C1-stride,cuda_ga_c1_stride,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,126.591,NA,NA,17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14 13 7 17,ok,
cuda_ga_c2_bitmask,build/CUDA-GA-C2-bitmask,cuda_ga_c2_bitmask,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,117.639,NA,NA,17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14 13 7 17,ok,
cuda_ga_c3_reduce,build/CUDA-GA-C3-reduce,cuda_ga_c3_reduce,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,118.401,NA,NA,17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14 13 7 17,ok,
