variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,elapsed_seconds,max_rss_kb,status,notes
gpu_naive,build/GPU-Naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,NA,NA,NA,NA,80,0.11?nmax_rss_kb,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,1,42,512,NA,1000,0.05,4,75,0.34?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,73,0.16?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,73,0.16?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,73,0.15?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,73,0.12?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,73,0.26?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,73,0.17?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,73,0.16?nmax_rss_kb,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,NA,0.16?nmax_rss_kb,NA,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,GPU-Pop B1+B2,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,NA,0.16?nmax_rss_kb,NA,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,GPU-Pop B1+B2+B3-reduce,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,NA,0.12?nmax_rss_kb,NA,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,NA,0.11?nmax_rss_kb,NA,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,GPU-Pop B1+B2+B3-shuffle+B4-global,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,NA,0.11?nmax_rss_kb,NA,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,sequential/tests/fixtures/smoke_20.tsp,1,42,NA,128,1000,0.05,2,NA,0.11?nmax_rss_kb,NA,ok,
gpu_naive,build/GPU-Naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,NA,NA,NA,NA,80,0.10?nmax_rss_kb,NA,ok,
cuda_ga,build/CUDA-GA,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,2,43,512,NA,1000,0.05,4,75,0.34?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,128,1000,0.05,2,73,0.16?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,128,1000,0.05,2,73,0.16?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,128,1000,0.05,2,73,0.16?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,128,1000,0.05,2,73,0.12?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,128,1000,0.05,2,73,0.26?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,128,1000,0.05,2,73,0.17?nmax_rss_kb,NA,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,128,1000,0.05,2,73,0.16?nmax_rss_kb,NA,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,GPU-Pop B1-stride,sequential/tests/fixtures/smoke_20.tsp,2,43,NA,128,1000,0.05,2,NA,0.16?nmax_rss_kb,NA,ok,
