variant,version,dataset,runs,ok_runs,target_hits,best_reported_length,best_cuda_elapsed_ms,best_tour_path,mean_reported_length,stddev_reported_length,mean_cuda_elapsed_ms,stddev_cuda_elapsed_ms,mean_generations_completed
cuda_ga_gpu_pop_bitset,GPU-Pop Bitset Variant,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,115.757,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,73,0,115.151,0.189846,2000
cuda_ga_b3_reduce,cuda_ga_b3_reduce,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,118.637,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,73,0,117.871,0.975001,2000
cuda_ga_gpu_pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,134.46,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,73,0,122.087,2.91467,2000
gpu_naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,20,20,0,80,0.129866,8 9 18 6 5 19 4 14 13 11 12 15 0 7 3 17 16 1 2 10 8,80,0,0.131514,0.00642084,NA
cuda_ga_gpu_pop_global_dist,GA-GPU-POP-GlobalDist,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,149.089,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,73,0,149.062,0.237839,2000
cuda_ga_gpu_pop_bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,121.615,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,73,0,120.466,0.300516,2000
cuda_ga_c5_bigpop,cuda_ga_c5_bigpop,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,1687.56,16 17 3 7 14 13 11 12 6 5 19 4 10 8 9 18 15 0 2 1 16,73,0,1686.39,1.9697,2000
cuda_ga_c4_global,cuda_ga_c4_global,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,119.032,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,73,0,118.253,0.811,2000
cuda_ga_b5_bigpop,cuda_ga_b5_bigpop,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,1686.7,15 12 11 13 18 9 8 10 4 19 5 6 14 7 3 17 16 1 2 0 15,73,0,1685.99,1.48049,2000
cuda_ga_b4_global,cuda_ga_b4_global,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,117.511,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,73,0,117.559,0.971294,2000
cuda_ga_b3_shuffle,GPU-Pop B1+B2+B3-shuffle,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,116.133,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,73,0,117.557,0.99224,2000
cuda_ga_gpu_pop_parallel_sort,GA-GPU-POP-ParallelSort,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,127.059,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,73,0,126.407,1.33541,2000
cuda_ga_b4_smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,118.402,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,73,0,118.626,1.20893,2000
cuda_ga_c2_bitmask,cuda_ga_c2_bitmask,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,119.71,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,73,0,117.898,1.0843,2000
cuda_ga_c1_stride,cuda_ga_c1_stride,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,126.527,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,73,0,126.937,1.23231,2000
cuda_ga_gpu_pop_aos,GA-GPU-POP-AoS,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,626.783,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,73,0,626.783,0.797835,2000
cuda_ga_b2_bitmask,cuda_ga_b2_bitmask,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,117.598,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,73,0,117.691,1.23082,2000
cuda_ga_b1_stride,cuda_ga_b1_stride,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,125.813,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,73,0,125.3,0.746125,2000
cuda_ga_gpu_pop_verbose_comments,GA-GPU-POP-VerboseComments,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,205.787,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,73,0,204.955,1.11084,2000
cuda_ga_c3_reduce,cuda_ga_c3_reduce,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,118.717,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,73,0,117.974,0.954398,2000
cuda_ga_no_greedy,cuda_ga_no_greedy,sequential/tests/fixtures/smoke_20.tsp,20,20,0,73,564.351,18 13 14 7 17 3 16 1 2 0 15 12 11 6 5 19 4 10 8 9 18,73.7,1.17429,564.856,2.27152,2000
cuda_ga,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,20,20,0,74,562.532,7 14 6 5 19 4 10 8 9 18 13 11 12 15 0 3 17 16 1 2 7,74.65,0.48936,564.046,2.30094,2000
