variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,best_tour_path,status,notes
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,1,100,NA,NA,NA,NA,NA,8181,0.132225,NA,NA,39 37 36 38 35 34 33 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 22 19 49 15 28 29 41 6 1 39,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,1,100,512,NA,2000,0.03,4,7640,885.576,2000,NA,21 30 17 2 16 20 41 6 1 29 22 19 49 28 15 43 45 37 39 38 35 34 33 36 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21,ok,
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,data/berlin52.tsp,1,100,512,NA,2000,0.03,4,8180,899.58,2000,NA,44 18 40 7 8 9 38 39 36 37 23 47 24 11 27 26 25 46 12 13 51 10 50 32 42 3 5 14 4 45 43 33 34 35 48 31 0 21 17 30 22 19 49 15 28 29 1 6 41 20 16 2 44,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,345.153,2000,no,35 38 48 34 47 3 24 45 25 26 27 11 50 10 51 13 12 46 28 29 22 33 36 39 37 23 4 5 14 42 32 9 8 7 40 18 44 31 0 21 30 17 2 16 1 6 41 20 19 49 15 43 35,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,329.838,2000,no,35 38 48 34 47 3 24 45 25 26 27 11 50 10 51 13 12 46 28 29 22 33 36 39 37 23 4 5 14 42 32 9 8 7 40 18 44 31 0 21 30 17 2 16 1 6 41 20 19 49 15 43 35,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,284.14,2000,no,35 38 48 34 47 3 24 45 25 26 27 11 50 10 51 13 12 46 28 29 22 33 36 39 37 23 4 5 14 42 32 9 8 7 40 18 44 31 0 21 30 17 2 16 1 6 41 20 19 49 15 43 35,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,9025,262.903,2000,NA,12 51 10 50 24 3 5 4 14 23 47 36 33 34 35 0 48 31 17 20 41 1 6 16 2 40 8 9 7 18 44 30 21 45 15 49 19 22 29 28 43 38 39 37 42 32 11 27 26 25 46 13 12,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,825.356,2000,NA,35 38 48 34 47 3 24 45 25 26 27 11 50 10 51 13 12 46 28 29 22 33 36 39 37 23 4 5 14 42 32 9 8 7 40 18 44 31 0 21 30 17 2 16 1 6 41 20 19 49 15 43 35,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,279.782,2000,no,35 38 48 34 47 3 24 45 25 26 27 11 50 10 51 13 12 46 28 29 22 33 36 39 37 23 4 5 14 42 32 9 8 7 40 18 44 31 0 21 30 17 2 16 1 6 41 20 19 49 15 43 35,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,1,100,NA,256,2000,0.03,2,8964,417.689,2000,NA,35 38 48 34 47 3 24 45 25 26 27 11 50 10 51 13 12 46 28 29 22 33 36 39 37 23 4 5 14 42 32 9 8 7 40 18 44 31 0 21 30 17 2 16 1 6 41 20 19 49 15 43 35,ok,
