implementation,instance,population,generations,mutation,elite,seed,distance,time_sec,tour_length,tour_order,same_tour_rotation_reversal,distance_abs_diff
python_baseline,C:\Users\ual-laptop\Documents\Traveling-salesman-GPU\sequential\tests\fixtures\smoke_20.tsp,100,200,0.1,2,42,75.77690602900954,41.95691160002025,20,13 -> 12 -> 1 -> 8 -> 18 -> 4 -> 17 -> 2 -> 3 -> 16 -> 19 -> 10 -> 9 -> 11 -> 5 -> 20 -> 6 -> 7 -> 15 -> 14 -> 13,False,1.715588970990467
sequential_c,C:\Users\ual-laptop\Documents\Traveling-salesman-GPU\sequential\tests\fixtures\smoke_20.tsp,100,200,0.1,2,42,77.492495,0.05561529996339232,20,9 -> 6 -> 5 -> 19 -> 8 -> 10 -> 4 -> 14 -> 13 -> 7 -> 17 -> 3 -> 16 -> 1 -> 2 -> 0 -> 15 -> 12 -> 11 -> 18 -> 9,False,1.715588970990467
