variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,best_tour_path,status,notes
gpu_naive,build/GPU-Naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,NA,NA,NA,NA,80,0.129866,NA,NA,8 9 18 6 5 19 4 14 13 11 12 15 0 7 3 17 16 1 2 10 8,ok,
cuda_ga,build/CUDA-GA,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,1,100,512,NA,2000,0.03,4,75,569.137,2000,NA,13 11 12 15 0 7 3 17 16 1 2 9 18 6 5 19 8 10 4 14 13,ok,
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,sequential/tests/fixtures/smoke_20.tsp,1,100,512,NA,2000,0.03,4,78,566.964,2000,NA,9 18 13 14 4 10 8 19 5 6 11 12 7 2 1 16 17 3 0 15 9,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,134.46,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,121.615,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,115.757,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,127.059,2000,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,626.783,2000,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,149.089,2000,no,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,205.787,2000,NA,18 13 11 12 15 0 2 1 16 3 17 7 14 6 5 19 4 10 8 9 18,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,cuda_ga_b1_stride,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,125.813,2000,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,cuda_ga_b2_bitmask,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,117.598,2000,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,cuda_ga_b3_reduce,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,118.637,2000,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,116.133,2000,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,cuda_ga_b4_global,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,117.511,2000,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,cuda_ga_b5_bigpop,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,1686.7,2000,NA,15 12 11 13 18 9 8 10 4 19 5 6 14 7 3 17 16 1 2 0 15,ok,
cuda_ga_c1_stride,build/CUDA-GA-C1-stride,cuda_ga_c1_stride,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,126.527,2000,NA,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,ok,
cuda_ga_c2_bitmask,build/CUDA-GA-C2-bitmask,cuda_ga_c2_bitmask,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,119.71,2000,NA,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,ok,
cuda_ga_c3_reduce,build/CUDA-GA-C3-reduce,cuda_ga_c3_reduce,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,118.717,2000,NA,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,ok,
cuda_ga_c4_global,build/CUDA-GA-C4-global,cuda_ga_c4_global,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,119.032,2000,NA,14 13 7 17 3 16 1 2 0 15 12 11 6 18 9 8 10 4 19 5 14,ok,
cuda_ga_c5_bigpop,build/CUDA-GA-C5-bigpop,cuda_ga_c5_bigpop,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,1687.56,2000,NA,16 17 3 7 14 13 11 12 6 5 19 4 10 8 9 18 15 0 2 1 16,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,sequential/tests/fixtures/smoke_20.tsp,1,100,NA,256,2000,0.03,2,73,118.402,2000,NA,8 10 4 19 5 14 7 17 3 16 1 2 0 15 12 11 13 6 18 9 8,ok,
gpu_naive,build/GPU-Naive,gpu_naive,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,NA,NA,NA,NA,80,0.129961,NA,NA,8 9 18 6 5 19 4 14 13 11 12 15 0 7 3 17 16 1 2 10 8,ok,
cuda_ga,build/CUDA-GA,cuda_ga,sequential/tests/fixtures/smoke_20.tsp,2,101,512,NA,2000,0.03,4,75,563.182,2000,NA,11 12 15 0 7 3 17 16 1 2 9 18 6 5 19 8 10 4 14 13 11,ok,
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,sequential/tests/fixtures/smoke_20.tsp,2,101,512,NA,2000,0.03,4,73,564.351,2000,NA,18 13 14 7 17 3 16 1 2 0 15 12 11 6 5 19 4 10 8 9 18,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,121.427,2000,no,15 0 2 1 16 3 17 7 13 14 6 5 19 4 10 8 9 18 11 12 15,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,sequential/tests/fixtures/smoke_20.tsp,2,101,NA,256,2000,0.03,2,73,120.112,2000,no,15 0 2 1 16 3 17 7 13 14 6 5 19 4 10 8 9 18 11 12 15,ok,
