variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,best_tour_path,status,notes
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,data/berlin52.tsp,17,116,512,NA,2000,0.03,4,8410,891.523,NA,NA,5 3 24 11 50 10 27 26 12 51 13 46 25 45 36 47 23 4 14 42 32 9 8 7 40 18 44 17 30 21 0 48 31 2 16 6 1 41 20 29 22 19 49 28 15 43 33 34 35 38 39 37 5,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9093,333.577,2000,no,1 16 2 17 21 29 22 19 49 15 45 24 11 10 51 13 12 26 27 25 46 28 43 33 34 35 38 39 36 23 47 4 5 3 50 32 42 9 8 7 40 18 44 37 14 48 31 0 30 20 41 6 1,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9093,331.609,2000,no,1 16 2 17 21 29 22 19 49 15 45 24 11 10 51 13 12 26 27 25 46 28 43 33 34 35 38 39 36 23 47 4 5 3 50 32 42 9 8 7 40 18 44 37 14 48 31 0 30 20 41 6 1,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9093,284.376,2000,no,1 16 2 17 21 29 22 19 49 15 45 24 11 10 51 13 12 26 27 25 46 28 43 33 34 35 38 39 36 23 47 4 5 3 50 32 42 9 8 7 40 18 44 37 14 48 31 0 30 20 41 6 1,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9093,262.685,NA,NA,1 16 2 17 21 29 22 19 49 15 45 24 11 10 51 13 12 26 27 25 46 28 43 33 34 35 38 39 36 23 47 4 5 3 50 32 42 9 8 7 40 18 44 37 14 48 31 0 30 20 41 6 1,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9093,824.299,NA,NA,1 16 2 17 21 29 22 19 49 15 45 24 11 10 51 13 12 26 27 25 46 28 43 33 34 35 38 39 36 23 47 4 5 3 50 32 42 9 8 7 40 18 44 37 14 48 31 0 30 20 41 6 1,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9093,279.499,2000,no,1 16 2 17 21 29 22 19 49 15 45 24 11 10 51 13 12 26 27 25 46 28 43 33 34 35 38 39 36 23 47 4 5 3 50 32 42 9 8 7 40 18 44 37 14 48 31 0 30 20 41 6 1,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9093,419.328,NA,NA,1 16 2 17 21 29 22 19 49 15 45 24 11 10 51 13 12 26 27 25 46 28 43 33 34 35 38 39 36 23 47 4 5 3 50 32 42 9 8 7 40 18 44 37 14 48 31 0 30 20 41 6 1,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,cuda_ga_b1_stride,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9331,263.093,NA,NA,37 39 38 35 48 43 45 47 23 4 5 42 32 50 10 51 13 12 46 25 26 27 11 24 3 14 34 33 21 31 9 8 7 40 18 44 2 16 20 17 0 49 28 19 22 30 41 6 1 29 15 36 37,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,cuda_ga_b2_bitmask,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9331,247.479,NA,NA,37 39 38 35 48 43 45 47 23 4 5 42 32 50 10 51 13 12 46 25 26 27 11 24 3 14 34 33 21 31 9 8 7 40 18 44 2 16 20 17 0 49 28 19 22 30 41 6 1 29 15 36 37,ok,
